# NAME: es30fst14.
# COMMENT: 33d32945 STP File, STP Format Version 1.00, Section Comment, Name    "es30fst14", Creator "Martin Zachariasen, David Warme", Remark  "Reduced rectilinear graph from FST generator GeoSteiner", End
53 58
1 31 1452341
30 32 1016178
24 34 1024932
24 33 1043837
3 32 1151263
3 31 1622974
20 31 239346
27 35 1553491
27 32 435052
12 33 1598280
33 34 18905
34 36 1327831
28 35 803655
36 37 235903
36 38 94192
37 39 94192
7 37 260670
26 38 18905
26 41 294414
26 33 1422023
38 39 235903
38 40 167073
40 42 127341
6 40 235903
6 39 167073
2 43 651909
2 35 1793606
22 41 894466
41 42 18905
41 44 712418
42 44 693513
23 48 1383482
43 49 1672669
25 43 87792
18 45 922034
18 44 57754
10 47 93619
19 45 1004382
45 46 135299
46 47 656505
4 48 1280514
4 47 493106
15 49 1868441
15 48 1335838
49 51 602097
8 50 95126
8 46 553976
50 52 1793718
14 50 76666
16 17 234230
17 51 2245718
29 53 2108835
29 51 384915
13 52 1507708
21 53 647629
9 52 1607732
11 53 1927420
5 9 683186
