# NAME: bqp50_2.txt
# COMMENT: Processed from file bqp50.txt from https://files.nyu.edu/jeb21/public/jeb/orlib/bqpinfo.html
50 120
1 6 83
1 19 -56
1 39 46
2 6 -82
2 14 -94
2 25 -32
2 32 15
2 42 30
2 50 14
3 9 -37
3 12 -72
3 15 -63
3 25 18
3 46 -82
3 49 28
4 5 85
4 6 97
4 9 10
4 25 -55
4 29 -8
4 31 -10
4 38 58
4 41 48
4 43 49
4 47 -67
5 7 -45
5 19 -75
5 25 36
5 30 -61
5 37 3
5 42 98
5 45 40
6 19 -33
6 28 -36
7 17 16
7 36 -2
8 19 42
9 11 -63
9 14 86
9 19 10
9 20 86
9 24 -23
9 36 69
9 44 -67
9 45 -86
9 50 90
10 11 4
11 28 90
11 36 -7
12 15 12
12 23 90
12 31 10
13 18 77
13 24 -12
13 25 47
13 42 89
13 44 -84
14 19 34
14 25 67
15 21 86
15 28 -12
15 33 -78
15 43 9
15 45 -73
15 46 -91
16 28 16
16 42 27
16 48 -54
17 45 -39
18 26 -31
18 30 16
18 39 -68
18 47 -39
18 49 -29
19 21 2
19 33 -81
19 36 -9
20 29 -13
20 36 -29
20 40 83
20 48 -18
21 39 84
21 41 -59
21 48 89
21 50 -93
23 49 67
24 36 -81
24 39 45
25 36 54
26 30 74
26 39 -96
26 46 -71
27 37 4
27 45 -76
27 46 41
30 42 -73
31 43 99
32 34 -40
32 43 93
33 40 79
33 50 67
34 38 82
34 39 -87
35 37 50
35 39 17
36 37 -72
36 38 78
36 41 -26
36 43 -62
36 48 15
37 46 65
37 50 -89
39 40 -81
39 43 -48
41 44 17
41 45 79
41 48 79
44 49 71
47 50 50
49 50 30
