# NAME: wrp3-21.
# COMMENT: 33d32945 STP File, STP Format Version  1.00, Section Comment, Name   "wrp3-21.stp", Remark "Group Steiner Tree problem from VLSI wire routing", End
237 444
1 6 7
1 214 1
1 215 1
1 216 6
2 216 5
3 214 6
3 216 1
4 215 6
4 216 1
5 10 7
5 209 1
5 210 1
5 211 5
6 211 6
6 212 1
6 213 1
7 209 5
7 211 1
7 212 6
8 210 5
8 211 1
8 213 6
9 14 7
9 204 1
9 205 1
9 206 6
10 206 5
10 207 1
10 208 1
11 204 6
11 206 1
11 207 5
12 205 6
12 206 1
12 208 5
13 190 6
13 196 1
13 197 1
13 198 5
14 198 6
14 202 1
14 203 1
15 196 5
15 198 1
15 202 6
16 197 5
16 198 1
16 203 6
17 191 3
17 194 1
17 195 1
18 20 1
18 201 1
19 21 1
19 194 1
19 195 1
19 200 11
20 22 1
20 200 1
21 178 14
21 193 1
21 199 11
22 192 14
22 199 1
23 148 1
24 145 3
24 148 1
24 150 1
24 151 1
25 149 11
25 158 1
26 170 1
26 179 6
27 28 1
27 172 14
27 182 2
27 193 3
28 184 2
28 191 1
28 194 3
29 162 14
29 170 6
29 179 1
29 180 6
30 73 1
31 33 1
31 138 6
31 155 26
32 142 1
32 143 1
32 146 2
32 165 26
33 35 1
33 137 6
34 36 1
34 137 6
34 142 1
34 143 1
35 136 6
36 136 6
36 141 1
37 42 7
37 139 1
37 140 1
37 147 6
38 147 5
38 153 1
38 154 1
38 156 6
39 139 6
39 147 1
39 153 5
40 140 6
40 147 1
40 154 5
41 132 1
41 133 5
42 133 6
42 134 1
42 135 1
43 132 5
43 133 1
43 134 6
44 133 1
44 135 6
45 50 7
45 127 1
45 129 1
45 130 6
46 130 5
46 131 1
47 127 6
47 130 1
48 129 6
48 130 1
48 131 5
49 106 21
49 115 1
49 119 5
50 119 6
50 122 1
50 123 1
51 103 26
51 119 1
51 122 6
52 115 5
52 119 1
52 123 6
53 60 1
53 74 1
53 117 1
53 124 9
54 61 1
54 74 1
54 121 1
54 126 9
55 124 6
55 128 1
56 117 9
56 124 1
56 128 6
57 121 9
57 126 1
58 75 1
58 86 24
58 110 5
58 112 6
59 75 1
59 76 5
59 111 1
59 114 6
60 112 9
60 116 1
60 118 1
61 114 9
61 118 1
61 120 1
62 97 23
62 109 11
62 112 1
62 116 9
63 111 6
63 114 1
63 120 9
64 88 3
64 92 1
64 96 1
64 101 9
65 91 3
65 96 1
65 98 1
65 107 9
66 75 5
66 76 1
66 101 6
66 110 1
67 76 1
67 107 6
67 111 5
68 92 9
68 99 1
68 101 1
68 110 6
69 98 9
69 107 1
70 77 12
71 77 1
72 94 172
73 179 1
73 183 6
74 118 1
74 125 9
75 113 6
76 104 6
77 78 29
77 85 42
78 79 1
78 80 6
79 81 6
79 99 24
80 81 1
80 83 5
81 82 1
81 84 5
82 86 5
82 109 23
83 84 1
83 93 6
84 86 1
84 95 6
85 87 1
85 90 3
86 97 6
87 88 1
87 92 3
88 89 1
89 91 1
89 96 3
90 92 1
90 99 9
91 94 1
93 95 1
93 100 9
94 98 3
95 97 1
95 102 9
96 104 9
97 105 9
99 109 6
100 102 1
100 103 1
101 104 1
102 105 1
102 106 1
103 106 1
104 107 1
105 108 1
105 116 23
106 108 1
108 115 21
108 117 23
109 110 1
112 113 1
113 114 1
113 118 9
115 128 29
116 117 1
120 121 1
122 127 7
123 129 7
124 125 1
125 126 1
131 132 7
134 139 7
135 140 7
136 137 1
137 138 1
138 142 6
138 160 26
141 143 1
141 144 2
142 163 26
143 145 2
144 145 1
144 148 3
145 146 1
146 150 3
146 169 26
148 149 1
149 151 1
150 152 1
150 173 26
151 152 1
151 158 11
152 159 11
152 175 26
153 155 6
154 157 6
155 156 1
155 160 6
156 157 1
156 161 6
157 162 6
157 170 14
158 159 1
159 185 26
160 161 1
160 163 6
161 162 1
161 164 6
162 166 6
163 164 1
163 165 1
164 166 1
164 167 1
165 167 1
165 169 2
166 168 1
166 180 14
167 168 1
167 171 2
168 172 2
168 182 14
169 171 1
169 173 3
171 172 1
171 174 3
172 176 3
173 174 1
173 175 1
174 176 1
174 177 1
175 177 1
175 185 11
176 178 1
176 193 14
177 178 1
177 187 11
178 189 11
179 181 6
180 181 1
180 182 1
181 183 1
181 184 1
182 184 1
183 186 1
184 186 1
185 187 1
185 188 1
186 191 2
187 189 1
187 190 1
188 190 1
188 196 6
189 192 1
189 199 14
190 192 1
192 197 6
193 194 1
195 201 11
199 200 1
200 201 1
202 204 7
203 205 7
207 209 7
208 210 7
212 214 7
213 215 7
1 217 100000
2 217 100000
3 217 100000
4 217 100000
5 218 100000
6 218 100000
7 218 100000
8 218 100000
9 219 100000
10 219 100000
11 219 100000
12 219 100000
13 220 100000
14 220 100000
15 220 100000
16 220 100000
17 221 100000
18 221 100000
19 222 100000
20 222 100000
21 223 100000
22 223 100000
23 224 100000
24 224 100000
25 224 100000
26 225 100000
27 225 100000
28 225 100000
29 225 100000
30 225 100000
31 226 100000
32 226 100000
33 227 100000
34 227 100000
35 228 100000
36 228 100000
37 229 100000
38 229 100000
39 229 100000
40 229 100000
41 230 100000
42 230 100000
43 230 100000
44 230 100000
45 231 100000
46 231 100000
47 231 100000
48 231 100000
49 232 100000
50 232 100000
51 232 100000
52 232 100000
53 233 100000
54 233 100000
55 233 100000
56 233 100000
57 233 100000
58 234 100000
59 234 100000
60 234 100000
61 234 100000
62 234 100000
63 234 100000
64 235 100000
65 235 100000
66 235 100000
67 235 100000
68 235 100000
69 235 100000
70 236 100000
71 236 100000
72 237 100000
73 225 100000
74 233 100000
75 234 100000
76 235 100000
